2020-01-25,2071,X760,Northern Sydney,14500,Ku-ring-gai (A) x
2020-03-13,2027,X720,South Eastern Sydney,18500,Woollahra (A) x
2020-03-21,2060,X760,Northern Sydney,15950,North Sydney (A) x
2020-03-24,2540,X730,Illawarra Shoalhaven,16950,Shoalhaven (C) x
2021-08-05,2196,X700,Sydney,11570,Canterbury-Bankstown (A) x
2021-08-24,2168,X710,South Western Sydney,14900,Liverpool (C) x
2021-11-29,2440,X820,Mid North Coast,14350,Kempsey (A) x
